OBJECTID,SEGMENT_ID,L_F_ADD,L_T_ADD,R_F_ADD,R_T_ADD,PRE_DIR,ST_NAME,ST_TYPE,SUF_DIR,MUN_L,MUN_R,CFCC,SPEEDLIMIT,ONEWAY,HEIGHT,WEIGHT,WIDTH,F_ZLEV,T_ZLEV,SHIELD,HWY_NUM,NBHD_L,NBHD_R,FT_COST,TF_COST,TF_DIR,FT_DIR,STATE00_L,STATE00_R,COUNTY00_L,COUNTY00_R,PLACE00_L,PLACE00_R,TRACT00_L,TRACT00_R,BLOCK00_L,BLOCK00_R,MCD00_L,MCD00_R,STREET_ID,SHAPElen
6193,7563,40,68,39,69,,Thatcher,ST,,Boston,Boston,A31,25,,,,,0,0,,,Hyde Park,Hyde Park,0.185,0.185, , ,MA,MA,025,025,07000,07000,02136,02136, , ,07000,07000,4113,404.306023192067
6194,7564,70,98,71,99,,Thatcher,ST,,Boston,Boston,A31,25,,,,,0,0,,,Hyde Park,Hyde Park,0.132,0.132, , ,MA,MA,025,025,07000,07000,02136,02136, , ,07000,07000,4113,286.901134300578
6195,7566,,,,,,Thayer,ST,,Boston,Boston,A70,1,N,,,,0,0,,,Boston,Boston,0,0, , ,MA,MA, , , , ,02118,02118, , ,07000,07000,4114,678.629992147184
6196,7567,2,40,1,39,,Thelma,RD,,Boston,Boston,A41,20,,,,,0,0,,,Dorchester,Dorchester,0.312,0.312, , ,MA,MA,025,025,07000,07000,02122,02122, , ,07000,07000,4115,544.006354714843
6197,7568,2,86,1,85,,Theodore Parker,RD,,Boston,Boston,A41,20,,,,,0,0,,,West Roxbury,West Roxbury,0.138,0.138, , ,MA,MA,025,025,07000,07000,02132,02132, , ,07000,07000,4119,236.537679691612
6198,7569,88,104,87,99,,Theodore Parker,RD,,Boston,Boston,A41,20,,,,,0,0,,,West Roxbury,West Roxbury,0.129,0.129, , ,MA,MA,025,025,07000,07000,02132,02132, , ,07000,07000,4119,241.314674530413
6199,7570,106,122,101,123,,Theodore Parker,RD,,Boston,Boston,A41,20,,,,,0,0,,,West Roxbury,West Roxbury,0.144,0.144, , ,MA,MA,025,025,07000,07000,02132,02132, , ,07000,07000,4119,240.073125123938
6200,7571,124,142,125,143,,Theodore Parker,RD,,Boston,Boston,A41,20,,,,,0,0,,,West Roxbury,West Roxbury,0.13,0.13, , ,MA,MA,025,025,07000,07000,02132,02132, , ,07000,07000,4119,241.189232454363
6201,7572,144,198,145,199,,Theodore Parker,RD,,Boston,Boston,A41,20,,,,,0,0,,,West Roxbury,West Roxbury,0.229,0.229, , ,MA,MA,025,025,07000,07000,02132,02132, , ,07000,07000,4119,401.144250001333
6202,7574,2,36,1,37,,Third,AVE,,Boston,Boston,A41,20,FT,,,,0,0,,,Charlestown,Charlestown,0.14548137,-1, , ,MA,MA,025,025,07000,07000,02129,02129, , ,07000,07000,4121,256.047219018729
6203,7579,12,14,11,13,,Thomas,PARK,,Boston,Boston,A41,20,FT,,,,0,0,,,South Boston,South Boston,0.092,-1, , ,MA,MA,025,025,07000,07000,02127,02127, , ,07000,07000,4126,167.79068155993
6204,7580,16,22,15,21,,Thomas,PARK,,Boston,Boston,A41,20,FT,,,,0,0,,,South Boston,South Boston,0.102,-1, , ,MA,MA,025,025,07000,07000,02127,02127, , ,07000,07000,4126,185.612188479894
6205,7581,24,26,23,25,,Thomas,PARK,,Boston,Boston,A41,20,FT,,,,0,0,,,South Boston,South Boston,0.074,-1, , ,MA,MA,025,025,07000,07000,02127,02127, , ,07000,07000,4126,124.538501405254
6206,7582,28,34,27,35,,Thomas,PARK,,Boston,Boston,A41,20,FT,,,,0,0,,,South Boston,South Boston,0.142,-1, , ,MA,MA,025,025,07000,07000,02127,02127, , ,07000,07000,4126,240.497667006998
6207,7583,36,52,37,53,,Thomas,PARK,,Boston,Boston,A41,20,FT,,,,0,0,,,South Boston,South Boston,0.277,-1, , ,MA,MA,025,025,07000,07000,02127,02127, , ,07000,07000,4126,461.368551203087
6208,7584,2,16,1,13,,Thomas,ST,,Boston,Boston,A41,20,,,,,0,0,,,Jamaica Plain,Jamaica Plain,0.186,-1, , ,MA,MA,025,025,07000,07000,02130,02130, , ,07000,07000,4127,313.977310223498
6209,7585,18,98,15,99,,Thomas,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Jamaica Plain,Jamaica Plain,0.108,-1, , ,MA,MA,025,025,07000,07000,02130,02130, , ,07000,07000,4127,196.336832912502
6210,7586,2,22,1,23,,Thompson,ST,,Boston,Boston,A41,20,,,,,0,0,,,Hyde Park,Hyde Park,0.281,0.281, , ,MA,MA,025,025,07000,07000,02136,02136, , ,07000,07000,4129,486.336212826217
6211,7589,2,12,1,17,,Thornton,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Roxbury,Roxbury,0.109,-1, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,4138,190.68691838869
6212,7590,14,30,19,33,,Thornton,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Roxbury,Roxbury,0.121,-1, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,4138,203.111923292609
6213,7591,32,40,35,47,,Thornton,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Roxbury,Roxbury,0.13,-1, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,4138,227.89485282878
6214,7592,42,74,49,73,,Thornton,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Roxbury,Roxbury,0.11,-1, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,4138,192.486785556021
6215,7593,76,90,75,93,,Thornton,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Roxbury,Roxbury,0.207,-1, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,4138,357.031282368402
6216,7594,92,122,95,99,,Thornton,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Roxbury,Roxbury,0.211,-1, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,4138,384.712807913248
6217,7595,124,160,101,159,,Thornton,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Roxbury,Roxbury,0.247,-1, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,4138,419.985261197776
6218,7596,162,176,161,177,,Thornton,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Roxbury,Roxbury,0.099,-1, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,4138,178.501447909915
6219,7597,178,182,179,183,,Thornton,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Roxbury,Roxbury,0.085,-1, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,4138,144.807920894315
6220,7598,184,190,185,191,,Thornton,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Roxbury,Roxbury,0.092,-1, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,4138,27.1714654463067
6221,7599,192,198,193,199,,Thornton,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Roxbury,Roxbury,0.092,-1, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,4138,136.806655321039
6222,7600,2,2,1,1,,Thornton,TER,,Boston,Boston,A41,15,,,,,0,0,,,Roxbury,Roxbury,0.053,0.053, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,5275,116.407543987331
6223,7601,1,7,2,6,,Thornton,PL,,Boston,Boston,A41,15,,,,,0,0,,,Roxbury,Roxbury,0.06,0.06, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,4137,95.9173044641032
6224,7602,2,22,1,23,,Thurlow,ST,,Boston,Boston,A41,20,,,,,0,0,,,West Roxbury,West Roxbury,0.29,0.29, , ,MA,MA,025,025,07000,07000,02132,02132, , ,07000,07000,4140,511.306977009896
6225,7605,23,1,24,2,,Ticknor,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,South Boston,South Boston,0.231,-1, , ,MA,MA,025,025,07000,07000,02127,02127, , ,07000,07000,4144,408.639977433117
6226,7608,2,10,1,17,,Tileston,ST,,Boston,Boston,A41,20,,,,,0,0,,,Hyde Park,Hyde Park,0.142,0.142, , ,MA,MA,025,025,07000,07000,02126,02126, , ,07000,07000,4148,257.047578880095
