OBJECTID,SEGMENT_ID,L_F_ADD,L_T_ADD,R_F_ADD,R_T_ADD,PRE_DIR,ST_NAME,ST_TYPE,SUF_DIR,MUN_L,MUN_R,CFCC,SPEEDLIMIT,ONEWAY,HEIGHT,WEIGHT,WIDTH,F_ZLEV,T_ZLEV,SHIELD,HWY_NUM,NBHD_L,NBHD_R,FT_COST,TF_COST,TF_DIR,FT_DIR,STATE00_L,STATE00_R,COUNTY00_L,COUNTY00_R,PLACE00_L,PLACE00_R,TRACT00_L,TRACT00_R,BLOCK00_L,BLOCK00_R,MCD00_L,MCD00_R,STREET_ID,SHAPElen
1,1,12,22,13,29,,A,ST,,Boston,Boston,A31,25,,,,,0,0,,,South Boston,South Boston,0.07576054,0.07576054, , ,MA,MA,025,025,07000,07000,02127,02127, , ,07000,07000,2,166.673187345359
2,2,24,42,31,43,,A,ST,,Boston,Boston,A31,25,,,,,0,0,,,South Boston,South Boston,0.07370136,0.07370136, , ,MA,MA,025,025,07000,07000,02127,02127, , ,07000,07000,2,162.142996796009
3,3,44,64,45,67,,A,ST,,Boston,Boston,A31,25,,,,,0,0,,,South Boston,South Boston,0.08114637,0.08114637, , ,MA,MA,025,025,07000,07000,02127,02127, , ,07000,07000,2,178.522006496561
4,4,66,72,69,71,,A,ST,,Boston,Boston,A31,25,,,,,0,0,,,South Boston,South Boston,0.08947319,0.08947319, , ,MA,MA,025,025,07000,07000,02127,02127, , ,07000,07000,2,196.841018041667
5,5,74,90,73,87,,A,ST,,Boston,Boston,A31,25,,,,,0,0,,,South Boston,South Boston,0.08148998,0.08148998, , ,MA,MA,025,025,07000,07000,02127,02127, , ,07000,07000,2,179.277949188496
6,6,92,98,89,99,,A,ST,,Boston,Boston,A31,25,,,,,0,0,,,South Boston,South Boston,0.05622324,0.05622324, , ,MA,MA,025,025,07000,07000,02127,02127, , ,07000,07000,2,123.691120900472
7,7,100,130,101,121,,A,ST,,Boston,Boston,A31,25,,,,,0,0,,,South Boston,South Boston,0.11108774,0.11108774, , ,MA,MA,025,025,07000,07000,02127,02127, , ,07000,07000,2,244.393022791398
8,10,306,322,307,313,,A,ST,,Boston,Boston,A31,25,,,,,0,0,,,South Boston,South Boston,0.06620359,0.06620359, , ,MA,MA,025,025,07000,07000,02210,02210, , ,07000,07000,2,145.647887014245
9,11,2,52,1,25,,Abbotsford,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Roxbury,Roxbury,0.362,-1, , ,MA,MA,025,025,07000,07000,02121,02121, , ,07000,07000,4,639.236590880479
10,12,54,98,27,99,,Abbotsford,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Roxbury,Roxbury,0.07,-1, , ,MA,MA,025,025,07000,07000,02121,02121, , ,07000,07000,4,115.286927557709
11,14,2,22,1,23,,Abby,RD,,Boston,Boston,A41,15,,,,,0,0,,,Allston-Brighton,Allston-Brighton,0.202,0.202, , ,MA,MA,025,025,07000,07000,02135,02135, , ,07000,07000,5,252.099867414197
12,15,2,22,1,23,,Acacia,RD,,Boston,Boston,A41,20,,,,,0,0,,,West Roxbury,West Roxbury,0.215,0.215, , ,MA,MA,025,025,07000,07000,02132,02132, , ,07000,07000,7,312.397262055137
13,16,2,24,48,26,,Academy,CT,,Boston,Boston,A41,15,,,,,0,0,,,Roxbury,Roxbury,0.121,0.121, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,9,151.047616742382
14,17,70,78,69,79,,Academy Hill,RD,,Boston,Boston,A41,20,,,,,0,0,,,Allston-Brighton,Allston-Brighton,0.163,0.163, , ,MA,MA,025,025,07000,07000,02135,02135, , ,07000,07000,11,288.139981108489
15,18,106,112,101,111,,Academy Hill,RD,,Boston,Boston,A41,20,,,,,0,0,,,Allston-Brighton,Allston-Brighton,0.106,0.106, , ,MA,MA,025,025,07000,07000,02135,02135, , ,07000,07000,11,175.439608310091
16,19,114,120,113,121,,Academy Hill,RD,,Boston,Boston,A41,20,,,,,0,0,,,Allston-Brighton,Allston-Brighton,0.032,0.032, , ,MA,MA,025,025,07000,07000,02135,02135, , ,07000,07000,11,61.6192262213089
17,20,122,198,123,199,,Academy Hill,RD,,Boston,Boston,A41,15,,,,,0,0,,,Allston-Brighton,Allston-Brighton,0.136,0.136, , ,MA,MA,025,025,07000,07000,02135,02135, , ,07000,07000,11,161.169693710414
18,22,28,42,25,41,,Academy,RD,,Boston,Boston,A41,15,,,,,0,0,,,Roxbury,Roxbury,0.113,0.113, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,8,152.965459937167
19,23,44,64,43,63,,Academy,RD,,Boston,Boston,A41,15,,,,,0,0,,,Roxbury,Roxbury,0.096,0.096, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,8,135.438311527605
20,24,66,98,65,99,,Academy,RD,,Boston,Boston,A41,15,,,,,0,0,,,Roxbury,Roxbury,0.187,0.187, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,8,230.361865931989
21,25,2,98,1,97,,Academy,TER,,Boston,Boston,A41,15,,,,,0,0,,,Roxbury,Roxbury,0.113,0.113, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,10,146.045985736583
22,26,13,1,14,2,,Acadia,ST,,Boston,Boston,A41,15,FT,,,,0,0,,,South Boston,South Boston,-1,0.231, , ,MA,MA,025,025,07000,07000,02127,02127, , ,07000,07000,12,300.400014483962
23,28,2,20,1,19,,Ackley,PL,,Boston,Boston,A41,15,,,,,0,0,,,Jamaica Plain,Jamaica Plain,0.184,0.184, , ,MA,MA,025,025,07000,07000,02130,02130, , ,07000,07000,14,240.167896374595
24,29,1,17,2,18,,Acorn,ST,,Boston,Boston,A41,15,,,,,0,0,,,Boston,Boston,0.183,0.183, , ,MA,MA,025,025,07000,07000,02108,02108, , ,07000,07000,15,256.035245365055
25,30,2,14,1,15,,Acton,ST,,Boston,Boston,A41,20,,,,,0,0,,,Hyde Park,Hyde Park,0.13,0.13, , ,MA,MA,025,025,07000,07000,02136,02136, , ,07000,07000,16,240.930081079042
26,31,1,3,2,4,,Adams,PL,,Boston,Boston,A41,15,,,,,0,0,,,South Boston,South Boston,0.06,0.06, , ,MA,MA,025,025,07000,07000,02127,02127, , ,07000,07000,23,63.3341918989979
27,32,2,2,1,1,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.082,0.082, , ,MA,MA,025,025,07000,07000,02122,02122, , ,07000,07000,24,154.962076503968
28,34,34,54,33,53,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.128,0.128, , ,MA,MA,025,025,07000,07000,02122,02122, , ,07000,07000,24,286.126628892604
29,35,56,70,55,71,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.079,0.079, , ,MA,MA,025,025,07000,07000,02122,02122, , ,07000,07000,24,177.326606178829
30,36,72,80,73,81,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.064,0.064, , ,MA,MA,025,025,07000,07000,02122,02122, , ,07000,07000,24,138.291539109275
31,37,82,100,83,99,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.11,0.11, , ,MA,MA,025,025,07000,07000,02122,02122, , ,07000,07000,24,239.155276618285
32,38,102,124,101,125,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.142,0.142, , ,MA,MA,025,025,07000,07000,02122,02122, , ,07000,07000,24,309.098748661177
33,41,16,90,17,91,,Alleghany,ST,,Boston,Boston,A41,15,,,,,0,0,,,Roxbury,Roxbury,0.546,0.546, , ,MA,MA,025,025,07000,07000,02120,02120, , ,07000,07000,79,706.859163376163
34,42,2,26,1,27,,Allenwood,ST,,Boston,Boston,A41,20,,,,,0,0,,,West Roxbury,West Roxbury,0.311,0.311, , ,MA,MA,025,025,07000,07000,02132,02132, , ,07000,07000,84,537.624527617653
35,43,2,28,1,29,,Allen,ST,,Boston,Boston,A41,20,,,,,0,0,,,Roslindale,Roslindale,0.221,0.221, , ,MA,MA,025,025,07000,07000,02131,02131, , ,07000,07000,82,388.57898699007
36,44,2,14,1,13,,Allerton,ST,,Boston,Boston,A41,20,,,,,0,0,,,Roxbury,Roxbury,0.128,0.128, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,85,226.902340165427
37,45,16,30,15,23,,Allerton,ST,,Boston,Boston,A41,20,,,,,0,0,,,Roxbury,Roxbury,0.109,0.109, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,85,189.633166810178
38,46,32,36,25,37,,Allerton,ST,,Boston,Boston,A41,20,,,,,0,0,,,Roxbury,Roxbury,0.103,0.103, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,85,177.460646827995
39,47,38,98,39,59,,Allerton,ST,,Boston,Boston,A41,20,,,,,0,0,,,Roxbury,Roxbury,0.115,0.115, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,85,198.064963713521
40,48,100,998,61,199,,Allerton,ST,,Boston,Boston,A41,20,,,,,0,0,,,Roxbury,Roxbury,0.242,0.242, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,85,429.078938679822
41,49,2,66,1,67,,Alleyne,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,West Roxbury,West Roxbury,0.444,-1, , ,MA,MA,025,025,07000,07000,02132,02132, , ,07000,07000,86,768.072536314825
42,50,2,24,1,23,,Allston,ST,,Boston,Boston,A31,25,,,,,0,0,,,Allston-Brighton,Allston-Brighton,0.167,0.167, , ,MA,MA,025,025,07000,07000,02134,02134, , ,07000,07000,88,357.526873421939
43,51,42,44,45,47,,Allston,ST,,Boston,Boston,A31,25,,,,,0,0,,,Allston-Brighton,Allston-Brighton,0.074,0.074, , ,MA,MA,025,025,07000,07000,02134,02134, , ,07000,07000,88,38.5784294364812
44,52,76,88,77,89,,Allston,ST,,Boston,Boston,A31,25,,,,,0,0,,,Allston-Brighton,Allston-Brighton,0.079,0.079, , ,MA,MA,025,025,07000,07000,02134,02134, , ,07000,07000,88,148.827048601936
45,53,2,60,1,59,,Arborough,RD,,Boston,Boston,A41,15,,,,,0,0,,,Roslindale,Roslindale,0.681,0.681, , ,MA,MA,025,025,07000,07000,02131,02131, , ,07000,07000,154,885.270008106934
46,54,2,54,1,55,,Arborfield,RD,,Boston,Boston,A41,20,,,,,0,0,,,Roslindale,Roslindale,0.475,0.475, , ,MA,MA,025,025,07000,07000,02131,02131, , ,07000,07000,153,839.861916435101
47,55,2,32,1,31,,Arbroth,ST,,Boston,Boston,A41,20,,,,,0,0,,,Dorchester,Dorchester,0.254,0.254, , ,MA,MA,025,025,07000,07000,02122,02122, , ,07000,07000,158,448.665388098432
48,56,24,30,21,29,,Arbutus,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Dorchester,Dorchester,0.135,-1, , ,MA,MA,025,025,07000,07000,02124,02124, , ,07000,07000,159,239.202837585913
49,57,32,98,31,99,,Arbutus,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Dorchester,Dorchester,0.138,-1, , ,MA,MA,025,025,07000,07000,02124,02124, , ,07000,07000,159,238.388553701817
50,61,23,19,24,22,,Arcadia,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Dorchester,Dorchester,0.07014481,-1, , ,MA,MA,025,025,07000,07000,02122,02122, , ,07000,07000,162,123.454871812309
51,63,1,7,,,,Arcadia,ST,,Boston,Boston,A41,20,,,,,0,0,,,Jamaica Plain,Jamaica Plain,0.121,0.121, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,161,217.263971611058
52,64,2,6,,,,Arcadia,ST,,Boston,Boston,A41,20,,,,,0,0,,,Jamaica Plain,Jamaica Plain,0.11,0.11, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,161,189.081947601163
53,65,2,2,1,1,,Arcadia,TER,,Boston,Boston,A74,5,,,,,0,0,,,Dorchester,Dorchester,0.28815225,0.28815225, , ,MA,MA, , , , ,02122,02122, , ,07000,07000,4105,126.786991550164
54,66,39,1,48,2,,Arch,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Boston,Boston,0.17422155,-1, , ,MA,MA,025,025,07000,07000,02110,02110, , ,07000,07000,163,306.629929219045
55,67,79,41,78,50,,Arch,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Boston,Boston,0.1042392,-1, , ,MA,MA,025,025,07000,07000,02110,02110, , ,07000,07000,163,183.460984570836
56,68,89,81,88,80,,Arch,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Boston,Boston,0.10028683,-1, , ,MA,MA,025,025,07000,07000,02110,02110, , ,07000,07000,163,176.50481234564
57,69,224,248,227,247,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.119,0.119, , ,MA,MA,025,025,07000,07000,02122,02122, , ,07000,07000,24,258.790676939142
58,73,386,396,385,389,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.10711728,0.10711728, , ,MA,MA,025,025,07000,07000,02122,02122, , ,07000,07000,24,235.658014345824
59,74,398,402,391,399,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.032,0.032, , ,MA,MA,025,025,07000,07000,02122,02122, , ,07000,07000,24,67.5363600981689
60,75,404,414,401,413,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.063,0.063, , ,MA,MA,025,025,07000,07000,02122,02122, , ,07000,07000,24,127.390167888402
61,76,416,416,415,419,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.028,0.028, , ,MA,MA,025,025,07000,07000,02122,02122, , ,07000,07000,24,78.1457286351236
62,77,456,486,455,487,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.135,0.135, , ,MA,MA,025,025,07000,07000,02122,02122, , ,07000,07000,24,300.492427946653
63,78,488,496,489,505,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.104,0.104, , ,MA,MA,025,025,07000,07000,02122,02124, , ,07000,07000,24,215.78191388624
64,79,,,507,507,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.009,0.009, , ,MA,MA,025,025,07000,07000,02122,02124, , ,07000,07000,24,33.0008809542163
65,80,498,502,509,519,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.082,0.082, , ,MA,MA,025,025,07000,07000,02122,02124, , ,07000,07000,24,185.518529196833
66,81,534,560,535,555,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.133,0.133, , ,MA,MA,025,025,07000,07000,02122,02124, , ,07000,07000,24,288.975482673998
67,82,580,598,581,595,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.111,0.111, , ,MA,MA,025,025,07000,07000,02122,02124, , ,07000,07000,24,245.697630465294
68,83,600,606,597,607,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.036,0.036, , ,MA,MA,025,025,07000,07000,02122,02124, , ,07000,07000,24,87.1209030557598
69,84,608,614,609,613,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.052,0.052, , ,MA,MA,025,025,07000,07000,02122,02124, , ,07000,07000,24,107.54218222181
70,85,616,628,615,629,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.106,0.106, , ,MA,MA,025,025,07000,07000,02122,02124, , ,07000,07000,24,224.300485750408
71,86,630,656,631,653,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.144,0.144, , ,MA,MA,025,025,07000,07000,02122,02124, , ,07000,07000,24,320.770372453938
72,87,658,660,655,657,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.016,0.016, , ,MA,MA,025,025,07000,07000,02122,02122, , ,07000,07000,24,23.5974912739092
73,88,662,666,659,669,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.057,0.057, , ,MA,MA,025,025,07000,07000,02122,02122, , ,07000,07000,24,137.666919749478
74,89,668,670,671,671,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.041,0.041, , ,MA,MA,025,025,07000,07000,02122,02122, , ,07000,07000,24,71.4405795800304
75,90,672,676,673,675,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.035,0.035, , ,MA,MA,025,025,07000,07000,02122,02122, , ,07000,07000,24,90.2777743076136
76,91,678,690,677,683,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.06287899,0.06287899, , ,MA,MA,025,025,07000,07000,02122,02122, , ,07000,07000,24,138.333784574942
77,92,692,694,685,685,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.0434251,0.0434251, , ,MA,MA,025,025,07000,07000,02122,02122, , ,07000,07000,24,95.5352124637974
78,93,696,708,687,695,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.076,0.076, , ,MA,MA,025,025,07000,07000,02122,02122, , ,07000,07000,24,169.254557812844
79,94,710,710,697,699,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.024,0.024, , ,MA,MA,025,025,07000,07000,02122,02124, , ,07000,07000,24,53.1600291197372
80,95,712,722,701,709,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.074,0.074, , ,MA,MA,025,025,07000,07000,02122,02124, , ,07000,07000,24,154.438962015025
81,96,724,724,711,711,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.015,0.015, , ,MA,MA,025,025,07000,07000,02122,02124, , ,07000,07000,24,48.1184098183508
82,97,726,740,713,725,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.094,0.094, , ,MA,MA,025,025,07000,07000,02122,02124, , ,07000,07000,24,200.113196113337
83,98,742,770,727,773,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.133,0.133, , ,MA,MA,025,025,07000,07000,02122,02124, , ,07000,07000,24,297.695342431183
84,99,772,780,775,787,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.07,0.07, , ,MA,MA,025,025,07000,07000,02122,02124, , ,07000,07000,24,143.981869339868
85,100,2,10,1,9,,Adams,TER,,Boston,Boston,A41,15,,,,,0,0,,,Dorchester,Dorchester,0.155,0.155, , ,MA,MA,025,025,07000,07000,02122,02122, , ,07000,07000,22,208.788259953777
86,101,30,48,19,39,,Adams,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Roxbury,Roxbury,0.125,-1, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,21,227.605336814651
87,104,66,86,69,87,,Adamson,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Allston-Brighton,Allston-Brighton,0.219,-1, , ,MA,MA,025,025,07000,07000,02134,02134, , ,07000,07000,25,378.817034476846
88,105,972,982,973,981,,Adams,ST,,Boston,Boston,A31,25,,,,,0,0,,,Dorchester,Dorchester,0.151,0.151, , ,MA,MA,025,025,07000,07000,02124,02124, , ,07000,07000,24,347.354623177762
89,106,10,2,11,1,,Adams,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Charlestown,Charlestown,-1,0.163, , ,MA,MA,025,025,07000,07000,02129,02129, , ,07000,07000,19,270.858323878247
90,107,18,12,17,13,,Adams,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Charlestown,Charlestown,-1,0.072, , ,MA,MA,025,025,07000,07000,02129,02129, , ,07000,07000,19,73.6451057411872
91,108,22,20,21,19,,Adams,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Charlestown,Charlestown,-1,0.072, , ,MA,MA,025,025,07000,07000,02129,02129, , ,07000,07000,19,60.5449977379913
92,109,2,16,1,17,,Adanac,TER,,Boston,Boston,A41,15,,,,,0,0,,,Dorchester,Dorchester,0.169,0.169, , ,MA,MA,025,025,07000,07000,02124,02124, , ,07000,07000,26,230.519200387341
93,110,16,32,17,31,,Addington,RD,,Boston,Boston,A41,20,,,,,0,0,,,West Roxbury,West Roxbury,0.151,0.151, , ,MA,MA,025,025,07000,07000,02132,02132, , ,07000,07000,27,269.03469285285
94,111,34,58,33,51,,Addington,RD,,Boston,Boston,A41,20,,,,,0,0,,,West Roxbury,West Roxbury,0.161,0.161, , ,MA,MA,025,025,07000,07000,02132,02132, , ,07000,07000,27,284.619497966094
95,112,60,72,53,65,,Addington,RD,,Boston,Boston,A41,20,,,,,0,0,,,West Roxbury,West Roxbury,0.167,0.167, , ,MA,MA,025,025,07000,07000,02132,02132, , ,07000,07000,27,281.587773345774
96,113,74,100,67,101,,Addington,RD,,Boston,Boston,A41,20,,,,,0,0,,,West Roxbury,West Roxbury,0.162,0.162, , ,MA,MA,025,025,07000,07000,02132,02132, , ,07000,07000,27,292.327569744206
97,114,102,198,103,199,,Addington,RD,,Boston,Boston,A41,15,,,,,0,0,,,West Roxbury,West Roxbury,0.111,0.111, , ,MA,MA,025,025,07000,07000,02132,02132, , ,07000,07000,27,132.721040288587
98,115,9,1,6,2,,Adelaide,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Jamaica Plain,Jamaica Plain,0.10496401,-1, , ,MA,MA,025,025,07000,07000,02130,02130, , ,07000,07000,29,184.736662393834
99,116,2,6,1,5,,Adelaide,TER,,Boston,Boston,A41,15,,,,,0,0,,,Jamaica Plain,Jamaica Plain,0.102,0.102, , ,MA,MA,025,025,07000,07000,02130,02130, , ,07000,07000,30,123.392908401403
100,117,2,12,1,11,,Adella,PL,,Boston,Boston,A41,15,,,,,0,0,,,Allston-Brighton,Allston-Brighton,0.101,0.101, , ,MA,MA,025,025,07000,07000,02134,02134, , ,07000,07000,31,98.3700745974386
101,119,2,26,1,25,,Agawam,ST,,Boston,Boston,A41,20,,,,,0,0,,,Dorchester,Dorchester,0.244,0.244, , ,MA,MA,025,025,07000,07000,02122,02122, , ,07000,07000,36,429.094544712886
102,120,2,18,1,19,,Ainsley,ST,,Boston,Boston,A41,15,,,,,0,0,,,Dorchester,Dorchester,0.187,0.187, , ,MA,MA,025,025,07000,07000,02122,02122, , ,07000,07000,39,242.239997510782
103,121,1,1,2,2,,Ainsworth,ST,,Boston,Boston,A41,20,,,,,0,0,,,Roslindale,Roslindale,0.131,0.131, , ,MA,MA,025,025,07000,07000,02131,02131, , ,07000,07000,40,229.139451992313
104,122,37,3,40,4,,Ainsworth,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Roslindale,Roslindale,-1,0.321, , ,MA,MA,025,025,07000,07000,02131,02131, , ,07000,07000,40,560.798931013863
105,123,63,39,62,42,,Ainsworth,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Roslindale,Roslindale,-1,0.224, , ,MA,MA,025,025,07000,07000,02131,02131, , ,07000,07000,40,393.070201933806
106,125,2,30,1,19,,Akron,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Roxbury,Roxbury,0.289,-1, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,43,511.44582227714
107,126,32,36,21,35,,Akron,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Roxbury,Roxbury,0.062,-1, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,43,98.4744748444405
108,127,1,3,2,4,,Akron,PL,,Boston,Boston,A41,15,,,,,0,0,,,Roxbury,Roxbury,0.089,0.089, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,42,127.038150852329
109,128,2,16,1,19,,Alabama,ST,,Boston,Boston,A41,20,,,,,0,0,,,Mattapan,Mattapan,0.152,0.152, , ,MA,MA,025,025,07000,07000,02126,02126, , ,07000,07000,44,254.332431003087
110,129,18,68,21,65,,Alabama,ST,,Boston,Boston,A41,20,,,,,0,0,,,Mattapan,Mattapan,0.366,0.366, , ,MA,MA,025,025,07000,07000,02126,02126, , ,07000,07000,44,648.775973437072
111,131,146,198,157,199,,Alabama,ST,,Boston,Boston,A41,20,,,,,0,0,,,Mattapan,Mattapan,0.25687719,0.25687719, , ,MA,MA,025,025,07000,07000,02126,02126, , ,07000,07000,44,452.103846539105
112,132,206,248,207,263,,Alabama,ST,,Boston,Boston,A70,1,N,,,,0,0,,,Mattapan,Mattapan,0,0, , ,MA,MA, , , , ,02126,02126, , ,07000,07000,44,555.113224609408
113,135,2,18,1,7,,Alameda,RD,,Boston,Boston,A41,20,,,,,0,0,,,West Roxbury,West Roxbury,0.14,0.14, , ,MA,MA,025,025,07000,07000,02132,02132, , ,07000,07000,45,242.645708924605
114,136,20,98,9,99,,Alameda,RD,,Boston,Boston,A41,20,,,,,0,0,,,West Roxbury,West Roxbury,0.137,0.137, , ,MA,MA,025,025,07000,07000,02132,02132, , ,07000,07000,45,243.037788619524
115,137,2,30,1,23,,Alaric,ST,,Boston,Boston,A41,20,,,,,0,0,,,West Roxbury,West Roxbury,0.23837299,0.23837299, , ,MA,MA,025,025,07000,07000,02132,02132, , ,07000,07000,46,419.536460948435
116,139,39,1,38,2,,Alaska,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Roxbury,Roxbury,0.33586067,-1, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,48,591.114778784829
117,140,2,26,1,19,,Albano,ST,,Boston,Boston,A31,25,,,,,0,0,,,Roslindale,Roslindale,0.159,0.159, , ,MA,MA,025,025,07000,07000,02131,02131, , ,07000,07000,50,349.664572809848
118,141,28,48,21,43,,Albano,ST,,Boston,Boston,A31,25,,,,,0,0,,,Roslindale,Roslindale,0.113,0.113, , ,MA,MA,025,025,07000,07000,02131,02131, , ,07000,07000,50,244.507769973084
119,142,50,60,45,59,,Albano,ST,,Boston,Boston,A31,25,,,,,0,0,,,Roslindale,Roslindale,0.069,0.069, , ,MA,MA,025,025,07000,07000,02131,02131, , ,07000,07000,50,151.507571480975
120,143,62,80,61,73,,Albano,ST,,Boston,Boston,A31,25,,,,,0,0,,,Roslindale,Roslindale,0.133,0.133, , ,MA,MA,025,025,07000,07000,02131,02131, , ,07000,07000,50,288.593103307951
121,144,82,94,75,97,,Albano,ST,,Boston,Boston,A31,25,,,,,0,0,,,Roslindale,Roslindale,0.115,0.115, , ,MA,MA,025,025,07000,07000,02131,02131, , ,07000,07000,50,254.819341888738
122,145,96,198,99,199,,Albano,ST,,Boston,Boston,A31,25,,,,,0,0,,,Roslindale,Roslindale,0.109,0.109, , ,MA,MA,025,025,07000,07000,02131,02131, , ,07000,07000,50,235.283458038791
123,146,340,360,367,371,,Albany,ST,,Boston,Boston,A31,25,FT,,,,0,0,,,Boston,Boston,0.03534023,-1, , ,MA,MA,025,025,07000,07000,02118,02118, , ,07000,07000,51,77.748509297076
124,147,492,502,503,527,,Albany,ST,,Boston,Boston,A31,25,,,,,0,0,,,Boston,Boston,0.162,0.162, , ,MA,MA,025,025,07000,07000,02118,02118, , ,07000,07000,51,364.737175516434
125,148,540,580,541,581,,Albany,ST,,Boston,Boston,A31,25,,,,,0,0,,,Boston,Boston,0.09872737,0.09872737, , ,MA,MA,025,025,07000,07000,02118,02118, , ,07000,07000,51,217.200205720551
